ip,blnk,host,object_class,domain,,,,,,,,,,,,int,int_desc
10.72.254.86,,aup-af0-01-d-sws-001,switch,pfizer.com,,,,,,,,,,,,Vl100,
10.72.254.70,,aup-sg8-00-e-sws-006,switch,pfizer.com,,,,,,,,,,,,Vl100,
10.72.254.89,,aup-sg9-01-d-sws-004,switch,pfizer.com,,,,,,,,,,,,Vl100,
10.72.254.67,,aup-spl-01-e-sws-003,switch,pfizer.com,,,,,,,,,,,,Vl100,
10.72.254.69,,aup-srp-00-e-sws-005,switch,pfizer.com,,,,,,,,,,,,Vl100,
10.72.254.85,,aup-ult-00-d-sws-008,switch,pfizer.com,,,,,,,,,,,,Vl100,
10.72.48.251,,aup-adm-01-b-sws-011_vl1048,switch,pfizer.com,,,,,,,,,,,,Vl1048,
10.72.49.251,,aup-adm-01-b-sws-011_vl1049,switch,pfizer.com,,,,,,,,,,,,Vl1049,
10.72.50.251,,aup-adm-01-b-sws-011_vl1050,switch,pfizer.com,,,,,,,,,,,,Vl1050,
10.72.51.251,,aup-adm-01-b-sws-011_vl1051,switch,pfizer.com,,,,,,,,,,,,Vl1051,
10.72.255.246,,aup-adm-01-b-sws-011,Loopback,pfizer.com,,,,,,,,,,,,Lo0,
10.72.253.50,,aup-adm-01-b-sws-011_eth1_5,switch,pfizer.com,,,,,,,,,,,,Eth1_5,
10.72.253.61,,aup-adm-01-b-sws-011_eth1_6,switch,pfizer.com,,,,,,,,,,,,Eth1_6,
10.72.48.252,,aup-adm-01-b-sws-012_vl1048,switch,pfizer.com,,,,,,,,,,,,Vl1048,
10.72.49.252,,aup-adm-01-b-sws-012_vl1049,switch,pfizer.com,,,,,,,,,,,,Vl1049,
10.72.50.252,,aup-adm-01-b-sws-012_vl1050,switch,pfizer.com,,,,,,,,,,,,Vl1050,
10.72.51.252,,aup-adm-01-b-sws-012_vl1051,switch,pfizer.com,,,,,,,,,,,,Vl1051,
10.72.255.245,,aup-adm-01-b-sws-012,Loopback,pfizer.com,,,,,,,,,,,,Lo0,
10.72.253.58,,aup-adm-01-b-sws-012_eth1_5,switch,pfizer.com,,,,,,,,,,,,Eth1_5,
10.72.253.54,,aup-adm-01-b-sws-012_eth1_6,switch,pfizer.com,,,,,,,,,,,,Eth1_6,
10.72.254.1,,aup_vl99_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl99_HSRP,
10.72.128.250,,aup_vl1128_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl1128_HSRP,
10.72.129.250,,aup_vl1129_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl1129_HSRP,
10.72.130.250,,aup_vl1130_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl1130_HSRP,
10.72.253.29,,aup_vl121_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl121_HSRP,
172.22.128.250,,aup_vl3200_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl3200_HSRP,
172.22.129.250,,aup_vl3201_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl3201_HSRP,
172.22.130.250,,aup_vl3202_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl3202_HSRP,
172.22.131.250,,aup_vl3203_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl3203_HSRP,
172.22.132.250,,aup_vl3204_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl3204_HSRP,
172.22.133.250,,aup_vl3205_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl3205_HSRP,
172.22.134.250,,aup_vl3206_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl3206_HSRP,
10.72.254.100,,aup_vl100_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl100_HSRP,
10.72.0.250,,aup_vl1010_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl1010_HSRP,
10.72.1.250,,aup_vl1011_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl1011_HSRP,
10.72.2.250,,aup_vl1012_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl1012_HSRP,
10.72.3.250,,aup_vl1013_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl1013_HSRP,
10.72.4.250,,aup_vl1014_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl1014_HSRP,
10.72.5.250,,aup_vl1015_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl1015_HSRP,
10.72.6.250,,aup_vl1016_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl1016_HSRP,
10.72.7.250,,aup_vl1017_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl1017_HSRP,
10.72.8.250,,aup_vl1018_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl1018_HSRP,
10.72.9.250,,aup_vl1019_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl1019_HSRP,
10.72.10.250,,aup_vl1020_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl1020_HSRP,
10.72.11.250,,aup_vl1021_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl1021_HSRP,
10.72.56.250,,aup_vl1056_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl1056_HSRP,
10.72.64.250,,aup_vl1064_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl1064_HSRP,
10.72.65.250,,aup_vl1065_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl1065_HSRP,
10.72.66.250,,aup_vl1066_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl1066_HSRP,
10.72.67.250,,aup_vl1067_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl1067_HSRP,
10.72.68.250,,aup_vl1068_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl1068_HSRP,
10.72.69.250,,aup_vl1069_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl1069_HSRP,
10.72.70.250,,aup_vl1070_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl1070_HSRP,
10.72.71.250,,aup_vl1071_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl1071_HSRP,
10.72.72.250,,aup_vl1072_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl1072_HSRP,
10.72.73.250,,aup_vl1073_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl1073_HSRP,
10.72.74.250,,aup_vl1074_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl1074_HSRP,
10.72.75.250,,aup_vl1075_hsrp,Router,pfizer.com,,,,,,,,,,,,Vl1075_HSRP,
